id,name,address,latitude,longitude,review_count,rating,zip_code,insertedAtTimestamp
wyjtGsW5NeVDknGQWnIPAQ,wagamama - midtown,100 W 55th St,40.76316041296893,-73.97885444091449,271,4.5,10019,2023-02-27T00:25:06.813096Z
pPqEu60FMffpiWqk2MCrVA,Hutaoli Music Restaurant & Bar,42 W 33rd St,40.748413,-73.9871229,174,4.0,10001,2023-02-27T00:25:06.813096Z
f_vDVYSk-VUnlGTvgtBwkQ,Noodlecraft,10-39 47th Rd,40.74471,-73.95182,136,4.5,11101,2023-02-27T00:25:06.813096Z
ZWP7yq9C2bhCcLkMR9BmVw,Mala Project,245 East 53rd St,40.75712551924447,-73.96767713374987,58,4.5,10022,2023-02-27T00:25:06.813096Z
w3wKbjuNCZnYoPOr-FCk5w,New Moon,547 2nd Ave,40.742569,-73.977856,203,3.5,10016,2023-02-27T00:25:06.813096Z
OvdCm3j_5HzItolfvwrEUA,Lilli & Loo,785 Lexington Ave,40.76357,-73.96703,457,3.5,10065,2023-02-27T00:25:06.813096Z
E_Rxnmim6J2ECFtU0QGlsQ,Uncle Lou,73 Mulberry St,40.71623,-73.99925,278,4.0,10013,2023-02-27T00:25:06.813096Z
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,40.734207418277244,-74.006519,456,4.0,10014,2023-02-27T00:25:06.813096Z
HPwH6d3yshPeF0pywgDfSw,Jiang Nan,97 Montgomery St,40.71681948978749,-74.03873209999999,69,4.0,07302,2023-02-27T00:25:06.813096Z
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,328 E 78th St,40.77197,-73.95452,647,4.0,10075,2023-02-27T00:25:06.813096Z
z5f--L8_vB_WvSaRca7LQQ,Mala House,22 E 21st St,40.73945005575927,-73.98913809999999,47,4.5,10017,2023-02-27T00:25:06.813096Z
8Oo2AtQEPDfxIOnA8wfXoQ,886,26 Saint Marks Pl,40.72877,-73.98873,639,4.0,10003,2023-02-27T00:25:06.813096Z
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,33 E 60th St,40.76409,-73.97039,890,3.5,10065,2023-02-27T00:25:06.813096Z
vQX7y4Yoknpso033IDATqA,Wenwen,1025 Manhattan Ave,40.73398,-73.95504,141,4.0,11222,2023-02-27T00:25:06.813096Z
8ZBbl3VN-cu6PFOL0D7-8A,Hunan Village,339 Lexington Ave New York Ny,40.749688,-73.977171,33,4.0,10016,2023-02-27T00:25:06.813096Z
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,122 1st Ave,40.72713,-73.98542,864,4.0,10009,2023-02-27T00:25:06.813096Z
HR_a2QSA_KJZIakufAJUmg,Szechuan Gourmet,21 W 39th St,40.75226532620614,-73.98361050137848,54,4.0,10018,2023-02-27T00:25:07.669680Z
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,229 9th Ave,40.747413,-74.001052,487,3.5,10001,2023-02-27T00:25:07.669680Z
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,258 W 109th St,40.80332,-73.9668,184,4.0,10025,2023-02-27T00:25:07.669680Z
VbFYau70iG_s6UNFwYtGVQ,Xu's Public House,15 Union Square W,40.73589,-73.9917,139,4.0,10003,2023-02-27T00:25:07.669680Z
s25mujxKWphsyFm0Ji1xYA,Mr Chow,324 E 57th St,40.7588502019644,-73.9643376320601,435,3.0,10022,2023-02-27T00:25:07.669680Z
jwKPVep2qZYBUA6SLLQPvg,Legend 72,127 W 72nd St,40.77796,-73.9796901,279,3.5,10023,2023-02-27T00:25:07.669680Z
UBY796Pa8HAuqC2uRR0WNg,Dim Sum Sam,240 W 40th St,40.755247,-73.989578,54,4.5,10018,2023-02-27T00:25:07.669680Z
SYFLyQAFRFoDURRWafeLKA,Lin & Daughters,181 West 4th St,40.73253,-74.00167,16,5.0,10014,2023-02-27T00:25:07.669680Z
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,36 W 48th St,40.75781,-73.97994,557,3.5,10036,2023-02-27T00:25:07.669680Z
i7cKPMXreR4XfTjdpqZ_5A,Emperor Dumpling,818 6th Ave,40.74613,-73.99015,32,4.5,10001,2023-02-27T00:25:07.669680Z
slMRh4GEu5Mg53kicgmf4g,Four Four South Village,368 W 46th St,40.76068,-73.99034,70,4.5,10036,2023-02-27T00:25:07.669680Z
Q85ScF9s6vlS5_i453AFvg,Tangy Noodle,98 8th Ave,40.740203,-74.00193,21,4.5,10011,2023-02-27T00:25:07.669680Z
3gqKLANaXNsHZnPDjKrcTg,Win Son,159 Graham Ave,40.70747,-73.94339,675,4.0,11206,2023-02-27T00:25:07.669680Z
UaQF4mv6hVjiegkwUvQeMQ,Dim Sum Chelsea,236 8th Ave,40.744624,-73.998649,158,4.5,10011,2023-02-27T00:25:07.669680Z
2tR7d61tBGNlGaJRYvrN0Q,Dumplings & Things,45-26 46th St,40.7425888323281,-73.9189697784327,193,3.5,11104,2023-02-27T00:25:07.669680Z
GAFqRBlqZpLK2vYbiqzYhA,Peppercorn Station,66 W 39th St,40.75266,-73.98512,72,4.5,10018,2023-02-27T00:25:07.669680Z
kBZggrnSP1kcUMnsnfkTaQ,Nan Xiang Xiao Long Bao - Flushing,39-16 Prince St,40.75924,-73.8326,4404,4.0,11354,2023-02-27T00:25:07.669680Z
_7GunmWHykEJ5_u2zkX1gg,Dim Sum Sam,28 E 23rd St,40.74057320498368,-73.98780579999999,84,4.0,10010,2023-02-27T00:25:07.669680Z
Aux2Mp7bGnF3S6h60ab3iQ,Yummy City,1557 Lexington Ave,40.7879244458184,-73.948986355818,56,4.5,10029,2023-02-27T00:25:07.669680Z
k0fnJRSV8tzM2bzkvFdlGg,Bonnie's,398 Manhattan Ave,40.71783,-73.94651,114,3.5,11211,2023-02-27T00:25:07.669680Z
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,65 Bayard St,40.715433714742154,-73.9981186386701,640,4.0,10013,2023-02-27T00:25:07.669680Z
TU_BU9HLflYI2xlyqVQdRA,TAO Uptown,42 E 58th St,40.76266943713004,-73.97144107883544,2861,3.5,10022,2023-02-27T00:25:07.669680Z
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,21 Mott St,40.71441,-73.99902,1928,4.0,10013,2023-02-27T00:25:07.669680Z
3ESDUFulPVoMJdsqPQGm0A,Golden City Chinese Restaurant,423 9th Ave,40.753277148143,-73.996643608314,94,3.5,10001,2023-02-27T00:25:07.669680Z
ipPhk_Tmp2JYInPWJR-ZgQ,Dun Huang,27-23 Jackson Ave,40.748034191355224,-73.94037311324054,39,3.5,11101,2023-02-27T00:25:07.669680Z
KjN7kiCP4kZbt1dj8w3A3g,Steam - Shanghai Asian Fusion,470 6th Ave,40.735570389859696,-73.997784032187,74,4.5,10011,2023-02-27T00:25:07.669680Z
KSleHGTG1yL1E7OEFFPoNQ,LaoMa Spicy,58 E 8th St,40.73089,-73.99343,237,4.0,10003,2023-02-27T00:25:07.669680Z
Pr-q47vsmM4aoc2t_Sfk8w,Momofuku Noodle Bar - Uptown,10 Columbus Cir,40.76802583631109,-73.9829243,515,4.0,10019,2023-02-27T00:25:07.669680Z
Ig5-xwGEXMFssmwIvzxCRQ,Silky Kitchen,30-02 39th Ave,40.752457,-73.933734,21,4.5,11101,2023-02-27T00:25:07.669680Z
6kCo3xb87Sc3Aa5ZSWzNnw,Kung Fu Kitchen,610 8th Ave,40.755631112182144,-73.99066,496,3.5,10018,2023-02-27T00:25:07.669680Z
3NYQQckItp9l7GDzALw79w,Lin's Gourmet,1097 2nd Ave,40.759891,-73.965187,80,3.5,10022,2023-02-27T00:25:07.669680Z
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,811 8th Ave,40.7616286634162,-73.98688,1115,4.0,10019,2023-02-27T00:25:07.669680Z
Puyzn1gagH9TsJz7EBJs3g,Baji Baji,145 1st Ave,40.72821421354205,-73.98516918819301,58,4.5,10003,2023-02-27T00:25:07.669680Z
